Title,Topic,Timestamp,Link
دل کا دورہ، کورونا، دماغ میں رسولی اور اب زہر۔۔۔ انڈیا کو مطلوب داؤد ابراہیم دوبارہ خبروں میں کیوں,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c72y87k9388o
ریپ کے الزامات پر مقدمے کا سامنے کرنے والے ارب پتی انڈین تاجر سجن جندل کون ہیں؟,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c4nyzj523x4o
لاکربی فضائی حادثہ: 35 سال قبل ہوائی جہاز کو بم سے اڑانے کا واقعہ، جس میں جلی ہوئی پتلون کے ٹکڑے نے تفتیش کا رخ موڑ دیا,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c51zp8we9w3o
’میں آپ کی محبت میں پاگل ہوں۔۔۔‘ وہ خطوط جو ایک ڈکٹیٹر نے مسلم مردوں تک نہ پہنچنے دیے,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/cmmd6g80gd8o
روس میں ’برہنہ پارٹی‘ جس پر ہنگامے کے بعد سیلیبرٹیز وضاحتیں دینے پر مجبور ہیں,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c72yr2zzdd7o
غزہ پر بمباری: ’ملبے تلے میرے دو بیٹوں اور چھ ماہ کی بیٹی کی لاشیں ہیں، میرے پاس کوئی نہیں بچا۔۔۔ وہ سب چلے گئے‘,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c3gyz34k7mvo
اکیلے سفر کرنے والے چھ سالہ بچے کو ایئرلائن نے غلط منزل پر پہنچا دیا,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/cv2m8n7g83no
دوسری عالمی جنگ میں ہزاروں قیدیوں کو لے جانے والے جاپانی بحری جہاز جو ان کے لیے’جہنم‘ ثابت ہوئے,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/cnd7w631lx1o
علاقائی اثرو رسوخ سے تیل کی پیدوار تک۔۔۔ سعودی عرب اور متحدہ عرب امارات کے تنازعات میں جیت کس کی ہو گی؟,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/ckr83vyrl0jo
شام میں قاسم سلیمانی کے ساتھی ایرانی کمانڈر ’فضائی حملے میں ہلاک‘، ایران کی اسرائیل کو جواب دینے کی دھمکی,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/cz79l9n45xdo
انسانی سمگلنگ کا شبہ: انڈین مسافروں سے بھرا طیارہ فرانس میں جانچ کے بعد ممبئی پہنچ گیا,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c0wyz4yyv54o
غزہ جنگ: آنے والے دنوں میں لڑائی میں شدت آئے گی اور یہ جلد ختم نہیں ہوگی، بنیامن نتن یاہو ,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/crg7nk0qxreo
اولی: کشتی رانی کے مقابلے میں پہلی بار کسی بِلّے کی تاریخی شرکت,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c4ny7m2p9m0o
’میں ہوں عونی، ایک نئی ویڈیو کے ساتھ۔۔۔‘: 12 سالہ فلسطینی لڑکے کا وہ خواب جو اس کی موت کے بعد پورا ہوا,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c1eyv2jgqjeo
امریکہ کے شہر میامی کے نیچے چھپی 2700 سال پرانی ثقافت ,ورلڈ,2023-12-21,https://www.bbc.com/urdu/articles/c9724ndpqneo
